Agency,City,State,NTD ID,Organization Type,Reporter Type,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,TOS,Mode VOMS,Diesel (gal),Diesel (gal) Questionable,Gasoline (gal),Gasoline (gal) Questionable,Liquefied Petroleum Gas (gal equivalent),Liquefied Petroleum Gas (gal equivalent) Questionable,Compressed Natural Gas (gal equivalent),Compressed Natural Gas (gal equivalent) Questionable,Bio-Diesel (gal),Bio-Diesel (gal) Questionable,Other Fuel (gal/gal equivalent),Other Fuel (gal/gal equivalent) Questionable,Electric Propulsion (kWh),Electric Propulsion (kWh) Questionable,Electric Battery (kWh),Electric Battery (kWh) Questionable,Diesel (miles),Diesel Questionable,Gasoline (miles),Gasoline Questionable,Liquefied Petroleum Gas (miles),Liquefied Petroleum Gas Questionable,Compressed Natural Gas (miles),Compressed Natural Gas Questionable,Other Fuel (miles),Other Fuel Questionable,Electric Propulsion (miles),Electric Propulsion Questionable,Electric Battery (miles),Electric Battery Questionable,Diesel (mpg),Diesel (mpg) Questionable,Gasoline (mpg),Gasoline (mpg) Questionable,Liquefied Petroleum Gas (mpg),Liquefied Petroleum Gas (mpg) Questionable,Compressed Natural Gas (mpg),Compressed Natural Gas (mpg) Questionable,Other Fuel (mpg),Other Fuel (mpg) Questionable,Electric Propulsion (mi/kWh),Electric Propulsion (mi/kWh) Questionable,Electric Battery (mi/kWh),Electric Battery (mi/kWh) Questionable
"Lafayette City-Parish Consolidated Government, dba: Lafayette Transit System",Lafayette,LA,60038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,46045,"Lafayette, LA","227,316",19,MB,DO,11.00,61257.00,,0.00,,0.00,,111847.00,,0.00,,0.00,,0.00,,0.00,,557367.00,,0.00,,0.00,,718926.00,,0.00,,0.00,,0.00,,9.10,,,,,,,,,,,,,
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,40158,"City, County or Local Government Unit or Department of Transportation",Full Reporter,48799,"Leesburg--Eustis--Tavares, FL","151,523",33,DR,PT,23.00,0.00,,122371.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,861757.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.04,,,,,,,,,,,
"Lake County Board of County Commissioners, dba: LakeXpress",Tavares,FL,40158,"City, County or Local Government Unit or Department of Transportation",Full Reporter,48799,"Leesburg--Eustis--Tavares, FL","151,523",33,MB,PT,10.00,110503.00,,2292.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,597109.00,,34199.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.40,,14.92,,,,,,,,,,,
"Lake Erie Transportation Commission, dba: Lake Erie Transit",,MI,50522,Independent Public Agency or Authority of Transit Service,Full Reporter,58357,"Monroe, MI","57,260",21,DR,DO,13.00,19672.00,,1583.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,537097.00,,25862.00,,0.00,,0.00,,0.00,,0.00,,0.00,,27.30,,16.34,,,,,,,,,,,
"Lake Erie Transportation Commission, dba: Lake Erie Transit",,MI,50522,Independent Public Agency or Authority of Transit Service,Full Reporter,58357,"Monroe, MI","57,260",21,MB,DO,8.00,32631.00,,2387.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,108780.00,,25862.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.33,,10.83,,,,,,,,,,,
Lakeland Area Mass Transit District,Lakeland,FL,40031,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,MB,PT,6.00,0.00,,49162.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,419636.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.54,,,,,,,,,,,
Lakeland Area Mass Transit District,Lakeland,FL,40031,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,DR,DO,29.00,0.00,,67492.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2032.00,,735425.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,10.90,,,,,,,,,,,
Lakeland Area Mass Transit District,Lakeland,FL,40031,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,DR,PT,1.00,0.00,,8012.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,69561.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.68,,,,,,,,,,,
Lakeland Area Mass Transit District,Lakeland,FL,40031,Independent Public Agency or Authority of Transit Service,Full Reporter,46828,"Lakeland, FL","277,915",71,MB,DO,35.00,191263.00,,10345.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,991971.00,,289557.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.19,,27.99,,,,,,,,,,,
"Lakeland Bus Lines, Inc.",Dover,NJ,20163,Private-For-Profit Corporation,Full Reporter,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",36,CB,DO,36.00,293079.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1011075.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.45,,,,,,,,,,,,,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",96,MB,DO,19.00,41593.00,,2839.00,,59205.00,,0.00,,0.00,,0.00,,0.00,,756569.00,,267120.00,,21398.00,,0.00,,0.00,,0.00,,0.00,,426620.00,,6.42,,7.54,,0.00,,,,,,,,0.56,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",96,CB,DO,13.00,91596.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,557620.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.09,,,,,,,,,,,,,
Laketran,Painesville,OH,50117,Independent Public Agency or Authority of Transit Service,Full Reporter,17668,"Cleveland, OH","1,712,178",96,DR,DO,64.00,31611.00,,77588.00,,261846.00,,0.00,,0.00,,0.00,,0.00,,0.00,,376630.00,,941073.00,,1935648.00,,0.00,,1935648.00,,0.00,,0.00,,11.91,,12.13,,7.39,,,,,,,,,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,RB,DO,13.00,211754.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,794421.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.75,,,,,,,,,,,,,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,DR,PT,18.00,0.00,,70157.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,580378.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.27,,,,,,,,,,,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,VP,PT,5.00,0.00,,3636.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,82640.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,22.73,,,,,,,,,,,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,DR,TX,30.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,MB,DO,52.00,439454.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,632534.00,,2106757.00,,0.00,,0.00,,0.00,,0.00,,0.00,,243060.00,,4.79,,,,,,,,,,,,0.38,
Lane Transit District,Eugene,OR,7,Independent Public Agency or Authority of Transit Service,Full Reporter,28117,"Eugene, OR","270,179",120,MB,PT,2.00,8536.00,,4531.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,62848.00,,38223.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.36,,8.44,,,,,,,,,,,
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,60009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,47854,"Laredo, TX","251,462",44,DR,DO,7.00,3966.00,,36349.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3966.00,,215150.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1.00,,5.92,,,,,,,,,,,
"Laredo Transit Management, Inc., dba: El Metro",Laredo,TX,60009,"City, County or Local Government Unit or Department of Transportation",Full Reporter,47854,"Laredo, TX","251,462",44,MB,DO,37.00,191223.00,,18597.00,,0.00,,328187.00,,0.00,,0.00,,0.00,,0.00,,578269.00,,114784.00,,0.00,,1077930.00,,0.00,,0.00,,0.00,,3.02,,6.17,,,,,,,,,,,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,13510,"Cape Coral, FL","599,242",91,DR,DO,46.00,18546.00,,133589.00,,263608.00,,0.00,,0.00,,0.00,,0.00,,0.00,,245553.00,,841060.00,,1081397.00,,0.00,,1081397.00,,0.00,,0.00,,13.24,,6.30,,4.10,,,,,,,,,
"Lee County Transit, dba: LeeTran",Fort Myers,FL,40028,"City, County or Local Government Unit or Department of Transportation",Full Reporter,13510,"Cape Coral, FL","599,242",91,MB,DO,45.00,518347.00,,11100.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2863316.00,,61431.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.52,,5.53,,,,,,,,,,,
Lehigh and Northampton Transportation Authority,Allentown,PA,30010,Independent Public Agency or Authority of Transit Service,Full Reporter,1495,"Allentown--Bethlehem, PA--NJ","621,703",118,DR,PT,47.00,28670.00,,173031.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,89796.00,,1466795.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.13,,8.48,,,,,,,,,,,
Lehigh and Northampton Transportation Authority,Allentown,PA,30010,Independent Public Agency or Authority of Transit Service,Full Reporter,1495,"Allentown--Bethlehem, PA--NJ","621,703",118,MB,DO,71.00,199778.00,,0.00,,0.00,,742296.00,,0.00,,0.00,,0.00,,0.00,,1105611.00,,0.00,,0.00,,2772669.00,,0.00,,0.00,,0.00,,5.53,,,,,,,,,,,,,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,49582,"Lexington-Fayette, KY","315,631",95,VP,PT,8.00,0.00,,5506.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,89011.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,16.17,,,,,,,,,,,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,49582,"Lexington-Fayette, KY","315,631",95,DR,PT,38.00,0.00,,194652.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
"Lexington Transit Authority, dba: Lextran",Lexington,KY,40017,Independent Public Agency or Authority of Transit Service,Full Reporter,49582,"Lexington-Fayette, KY","315,631",95,MB,DO,49.00,334672.00,,48.00,,0.00,,268042.00,,0.00,,0.00,,0.00,,80.00,,1263676.00,,292.00,,0.00,,861947.00,,0.00,,0.00,,31463.00,,3.78,,6.08,,,,,,,,,,393.29,
"Licking County, Ohio, dba: Licking County Transit Board",Newark,OH,50163,"City, County or Local Government Unit or Department of Transportation",Full Reporter,61705,"Newark, OH","81,223",18,DR,DO,18.00,11.00,,99756.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,873800.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,8.76,,,,,,,,,,,
"LINK Hendricks County, dba: Hendricks and Morgan County Connect",Danville,IN,50342,Private-Non-Profit Corporation,Full Reporter,41212,"Indianapolis, IN","1,699,881",23,DR,DO,23.00,0.00,,41082.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,510914.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,12.44,,,,,,,,,,,
Livermore / Amador Valley Transit Authority,Livermore,CA,90144,Independent Public Agency or Authority of Transit Service,Full Reporter,50533,"Livermore--Pleasanton--Dublin, CA","240,381",47,MB,PT,47.00,299474.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1470898.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.91,,,,,,,,,,,,,
Long Beach Transit,Long Beach,CA,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",144,DR,PT,8.00,0.00,,812.00,,0.00,,15732.00,,0.00,,0.00,,0.00,,0.00,,0.00,,9317.00,,0.00,,179088.00,,0.00,,0.00,,0.00,,,,11.47,,,,,,,,,,,
Long Beach Transit,Long Beach,CA,90023,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376",144,MB,DO,136.00,0.00,,778888.00,,0.00,,1111680.00,,0.00,,0.00,,0.00,,527196.00,,0.00,,2168305.00,,0.00,,3933571.00,,0.00,,0.00,,275471.00,,,,2.78,,,,,,,,,,0.52,
Loop Trolley Transportation Development District,St. Louis,MO,70057,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",1,SR,PT,1.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,117058.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1666.00,,0.00,,,,,,,,,,,,0.01,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,PT,109.00,0.00,,0.00,,0.00,,2108527.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5852768.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",DR,DO,70.00,0.00,,217012.00,,0.00,,0.00,,0.00,,0.00,,0.00,,11191.00,,0.00,,2871223.00,,0.00,,0.00,,0.00,,0.00,,18735.00,,,,13.23,,,,,,,,,,1.67,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",RB,DO,24.00,0.00,,0.00,,0.00,,666.00,,0.00,,0.00,,0.00,,3528806.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1437302.00,,,,,,,,,,,,,,0.41,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",HR,DO,64.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,72194116.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6079782.00,,0.00,,,,,,,,,,,,0.08,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",VP,PT,673.00,0.00,,760636.00,,0.00,,0.00,,0.00,,0.00,,0.00,,93372.00,,0.00,,13960757.00,,0.00,,0.00,,0.00,,0.00,,1247695.00,,,,18.35,,,,,,,,,,13.36,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",LR,DO,148.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,115540242.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,13682252.00,,0.00,,,,,,,,,,,,0.12,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,51445,"Los Angeles--Long Beach--Anaheim, CA","12,237,376","2,509",MB,DO,1421.00,0.00,,0.00,,0.00,,24889368.00,,0.00,,0.00,,0.00,,2474.00,,0.00,,0.00,,0.00,,62181038.00,,0.00,,0.00,,5466.00,,,,,,,,,,,,,,2.21,
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,30081,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",51,CB,PT,28.00,252071.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1245247.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.94,,,,,,,,,,,,,
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,30081,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",51,DR,PT,5.00,0.00,,20268.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2675462.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,132.00,,,,,,,,,,,
"Loudoun County, dba: Loudoun County Transit",Leesburg,VA,30081,"City, County or Local Government Unit or Department of Transportation",Full Reporter,92242,"Washington--Arlington, DC--VA--MD","5,174,759",51,MB,PT,18.00,0.00,,198445.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,0.00,,,,,,,,,,,
Lowell Regional Transit Authority,Lowell,MA,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",78,MB,PT,42.00,222420.00,,14136.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1106548.00,,46925.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4.98,,3.32,,,,,,,,,,,
Lowell Regional Transit Authority,Lowell,MA,10005,Independent Public Agency or Authority of Transit Service,Full Reporter,9271,"Boston, MA--NH","4,382,009",78,DR,PT,36.00,0.00,,71640.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,623269.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,8.70,,,,,,,,,,,
Lower Rio Grande Valley Development Council,Weslaco,TX,60090,"MPO, COG or Other Planning Agency",Full Reporter,52390,"McAllen, TX","779,553",35,DR,DO,6.00,0.00,,19743.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,121303.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.14,,,,,,,,,,,
Lower Rio Grande Valley Development Council,Weslaco,TX,60090,"MPO, COG or Other Planning Agency",Full Reporter,52390,"McAllen, TX","779,553",35,MB,DO,29.00,171542.00,,158641.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1191766.00,,715665.00,,0.00,,0.00,,0.00,,0.00,,0.00,,6.95,,4.51,,,,,,,,,,,
Luzerne County Transportation Authority,Kingston,PA,30015,Independent Public Agency or Authority of Transit Service,Full Reporter,80227,"Scranton, PA","366,713",62,DR,DO,30.00,0.00,,118903.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,904099.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,7.60,,,,,,,,,,,
Luzerne County Transportation Authority,Kingston,PA,30015,Independent Public Agency or Authority of Transit Service,Full Reporter,80227,"Scranton, PA","366,713",62,MB,DO,32.00,107214.00,,0.00,,0.00,,179645.00,,0.00,,0.00,,0.00,,0.00,,336330.00,,0.00,,0.00,,751016.00,,0.00,,0.00,,0.00,,3.14,,,,,,,,,,,,,
"M-1 Rail, dba: QLINE Detroit",Detroit,MI,50213,Private-Non-Profit Corporation,Full Reporter,23824,"Detroit, MI","3,776,890",4,SR,DO,4.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,2268532.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,125580.00,,0.00,,,,,,,,,,,,0.06,,,
Macatawa Area Express Transportation Authority,Holland,MI,50184,Independent Public Agency or Authority of Transit Service,Full Reporter,39430,"Holland, MI","107,034",19,DR,DO,11.00,23850.00,,29692.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,384.00,,1378336.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.02,,46.42,,,,,,,,,,,
Macatawa Area Express Transportation Authority,Holland,MI,50184,Independent Public Agency or Authority of Transit Service,Full Reporter,39430,"Holland, MI","107,034",19,MB,DO,8.00,24635.00,,30670.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5042.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.16,,,,,,,,,,,
Madison County Transit District,Pontoon Beach,IL,50146,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",117,MB,PT,74.00,0.00,,54712.00,,0.00,,0.00,,704914.00,,0.00,,0.00,,0.00,,3631132.00,,364829.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.67,,,,,,,,,,,
Madison County Transit District,Pontoon Beach,IL,50146,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",117,VP,DO,30.00,0.00,,27298.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,434873.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,15.93,,,,,,,,,,,
Madison County Transit District,Pontoon Beach,IL,50146,Independent Public Agency or Authority of Transit Service,Full Reporter,77770,"St. Louis, MO--IL","2,156,323",117,DR,PT,13.00,0.00,,78030.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,476418.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.11,,,,,,,,,,,
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,40026,"City, County or Local Government Unit or Department of Transportation",Full Reporter,9536,"Bradenton--Sarasota--Venice, FL","779,075",49,DR,DO,24.00,43598.00,,48190.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,309346.00,,288717.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.10,,5.99,,,,,,,,,,,
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit",Sarasota,FL,40026,"City, County or Local Government Unit or Department of Transportation",Full Reporter,9536,"Bradenton--Sarasota--Venice, FL","779,075",49,MB,DO,25.00,298141.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,1636398.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.49,,,,,,,,,,,,,
Marin County Transit District,San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",80,DR,PT,21.00,0.00,,73186.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,458754.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,6.27,,,,,,,,,,,
Marin County Transit District,San Rafael,CA,90234,Independent Public Agency or Authority of Transit Service,Full Reporter,78904,"San Francisco--Oakland, CA","3,515,933",80,MB,PT,59.00,468544.00,,95962.00,,0.00,,0.00,,0.00,,0.00,,0.00,,79229.00,,2554598.00,,598186.00,,0.00,,0.00,,0.00,,0.00,,37311.00,,5.45,,6.23,,,,,,,,,,0.47,
Martin County,Stuart,FL,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",11,DR,PT,2.00,0.00,,5679.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,33434.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,5.89,,,,,,,,,,,
Martin County,Stuart,FL,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",11,MB,PT,7.00,79449.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,461633.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,5.81,,,,,,,,,,,,,
Martin County,Stuart,FL,40192,"City, County or Local Government Unit or Department of Transportation",Full Reporter,71479,"Port St. Lucie, FL","437,745",11,CB,PT,2.00,21336.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,162731.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,7.63,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,PT,398.00,0.00,,1321155.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,12987231.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,9.83,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,TX,150.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CB,PT,88.00,241591.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",HR,DO,42.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,50154675.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,4256600.00,,0.00,,,,,,,,,,,,0.08,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",CR,PT,149.00,4210166.00,,0.00,,0.00,,0.00,,0.00,,0.00,,17636077.00,,0.00,,1177358.00,,0.00,,0.00,,0.00,,0.00,,79637.00,,0.00,,0.28,,,,,,,,,,0.00,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",LR,DO,17.00,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,27911992.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3209789.00,,0.00,,,,,,,,,,,,0.12,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",DR,DO,15.00,0.00,,51782.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,214553.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,4.14,,,,,,,,,,,
Maryland Transit Administration,Baltimore,MD,30034,State Government Unit or Department of Transportation,Full Reporter,4843,"Baltimore, MD","2,212,038","1,486",MB,DO,627.00,5845423.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,23314835.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,3.99,,,,,,,,,,,,,
